project_type,state,district,current_stage,parcel_count,objection_count,document_turnaround_days,officer_open_load,days_in_compensation,delay_days_remaining,compensation_days
highway,Madhya Pradesh,Nagpur,compensation,5,1,26,51,66,164.0,107.0
rail,Gujarat,Indore,award,1,0,31,24,34,198.0,90.0
rail,Maharashtra,Nashik,notification,3,0,34,33,6,284.0,71.0
rail,Maharashtra,Ahmedabad,compensation,5,1,29,21,38,169.0,96.0
rail,Gujarat,Nashik,notification,6,4,2,19,18,338.0,97.0
irrigation,Gujarat,Nashik,notification,4,3,38,49,81,375.0,145.0
urban_transit,Madhya Pradesh,Nashik,objection,5,2,26,6,91,238.0,111.0
highway,Gujarat,Indore,verification,2,3,41,28,41,336.0,128.0
highway,Maharashtra,Nagpur,verification,1,2,26,9,112,286.0,124.0
urban_transit,Madhya Pradesh,Ahmedabad,award,1,1,23,14,56,181.0,89.0
irrigation,Karnataka,Satara,award,6,0,18,13,80,175.0,92.0
urban_transit,Madhya Pradesh,Ahmedabad,possession,4,1,31,33,61,129.0,105.0
highway,Maharashtra,Satara,compensation,3,0,16,27,54,119.0,76.0
irrigation,Maharashtra,Pune,verification,1,3,12,37,37,282.0,98.0
rail,Gujarat,Pune,award,6,2,24,24,43,194.0,93.0
rail,Gujarat,Satara,award,3,0,14,34,48,139.0,67.0
highway,Madhya Pradesh,Nashik,verification,2,1,26,36,112,303.0,133.0
urban_transit,Maharashtra,Pune,notification,2,2,16,24,49,302.0,92.0
irrigation,Karnataka,Satara,objection,6,1,8,14,29,190.0,64.0
highway,Madhya Pradesh,Nagpur,objection,6,1,24,12,45,192.0,73.0
highway,Maharashtra,Satara,objection,2,1,13,48,80,245.0,112.0
highway,Karnataka,Nagpur,compensation,2,2,34,24,1,176.0,89.0
highway,Karnataka,Ahmedabad,award,4,0,2,50,107,175.0,104.0
highway,Gujarat,Pune,compensation,4,0,7,41,30,131.0,73.0
urban_transit,Gujarat,Indore,objection,4,1,33,50,98,276.0,136.0
rail,Karnataka,Nashik,verification,1,2,28,19,62,284.0,107.0
rail,Madhya Pradesh,Pune,compensation,3,0,18,13,102,103.0,84.0
urban_transit,Karnataka,Nagpur,objection,6,2,23,6,20,223.0,79.0
irrigation,Karnataka,Ahmedabad,verification,2,3,32,15,32,309.0,109.0
rail,Maharashtra,Satara,compensation,3,1,13,40,105,132.0,102.0
urban_transit,Gujarat,Pune,objection,2,2,19,29,25,242.0,91.0
irrigation,Maharashtra,Nagpur,objection,5,4,27,26,111,300.0,152.0
highway,Karnataka,Satara,objection,5,0,42,14,55,245.0,102.0
highway,Madhya Pradesh,Nagpur,compensation,5,2,27,10,4,157.0,78.0
urban_transit,Madhya Pradesh,Indore,compensation,2,1,30,22,37,161.0,92.0
irrigation,Maharashtra,Satara,notification,4,1,41,31,78,328.0,118.0
irrigation,Madhya Pradesh,Satara,compensation,4,1,38,28,0,169.0,85.0
rail,Gujarat,Indore,verification,4,4,16,46,46,346.0,134.0
highway,Madhya Pradesh,Nagpur,notification,4,2,11,46,22,319.0,93.0
highway,Karnataka,Satara,compensation,2,3,2,8,111,150.0,109.0
urban_transit,Gujarat,Nashik,verification,5,1,33,43,118,273.0,124.0
highway,Madhya Pradesh,Nashik,award,4,1,19,42,76,172.0,95.0
irrigation,Karnataka,Satara,possession,6,2,28,21,15,129.0,88.0
rail,Gujarat,Nashik,compensation,1,0,15,51,55,162.0,99.0
urban_transit,Maharashtra,Pune,award,6,1,5,34,68,162.0,84.0
irrigation,Karnataka,Ahmedabad,objection,6,3,42,21,80,296.0,139.0
highway,Madhya Pradesh,Ahmedabad,objection,4,1,42,46,50,277.0,121.0
irrigation,Madhya Pradesh,Indore,possession,4,2,10,10,17,96.0,69.0
urban_transit,Madhya Pradesh,Ahmedabad,possession,2,1,6,24,111,96.0,102.0
rail,Maharashtra,Pune,notification,3,1,8,36,40,290.0,82.0
rail,Maharashtra,Satara,award,1,4,29,40,2,260.0,114.0
irrigation,Maharashtra,Pune,notification,1,2,15,46,87,299.0,107.0
irrigation,Maharashtra,Nashik,objection,2,0,25,23,109,206.0,102.0
rail,Maharashtra,Indore,notification,5,0,40,51,48,307.0,99.0
rail,Madhya Pradesh,Nagpur,compensation,5,4,37,29,22,215.0,117.0
irrigation,Madhya Pradesh,Satara,possession,5,4,32,20,93,162.0,133.0
urban_transit,Madhya Pradesh,Nashik,objection,5,0,5,20,34,164.0,53.0
rail,Gujarat,Ahmedabad,possession,3,0,27,19,71,104.0,93.0
highway,Karnataka,Nashik,compensation,5,1,45,44,62,170.0,110.0
highway,Gujarat,Indore,compensation,2,2,8,42,84,148.0,103.0
irrigation,Karnataka,Indore,verification,2,2,23,51,54,306.0,118.0
urban_transit,Gujarat,Indore,objection,3,2,38,10,78,263.0,120.0
highway,Maharashtra,Pune,objection,1,2,29,44,62,254.0,114.0
rail,Maharashtra,Satara,objection,6,1,12,11,24,218.0,75.0
irrigation,Gujarat,Indore,objection,6,3,31,14,107,256.0,128.0
rail,Madhya Pradesh,Indore,award,3,0,15,33,105,178.0,105.0
rail,Karnataka,Pune,compensation,3,2,22,44,8,201.0,103.0
rail,Gujarat,Nagpur,compensation,6,1,23,17,9,149.0,75.0
irrigation,Maharashtra,Ahmedabad,verification,2,2,29,23,82,287.0,116.0
rail,Madhya Pradesh,Nagpur,award,6,1,42,41,85,215.0,121.0
urban_transit,Madhya Pradesh,Nagpur,possession,1,0,43,14,5,113.0,75.0
highway,Maharashtra,Pune,verification,5,0,34,7,34,270.0,87.0
irrigation,Gujarat,Indore,notification,2,0,35,21,21,293.0,79.0
irrigation,Gujarat,Indore,compensation,1,1,2,5,87,107.0,78.0
rail,Madhya Pradesh,Satara,notification,4,1,16,41,116,311.0,121.0
urban_transit,Madhya Pradesh,Pune,possession,4,5,10,33,102,203.0,154.0
rail,Madhya Pradesh,Satara,objection,5,2,9,38,74,226.0,101.0
highway,Madhya Pradesh,Indore,award,6,2,33,39,38,202.0,98.0
irrigation,Gujarat,Nashik,verification,3,5,36,18,60,360.0,146.0
rail,Maharashtra,Indore,possession,3,2,23,39,81,151.0,122.0
irrigation,Madhya Pradesh,Indore,possession,4,0,12,32,37,90.0,74.0
irrigation,Maharashtra,Nashik,verification,5,1,12,48,14,288.0,92.0
irrigation,Gujarat,Satara,award,3,0,18,9,89,139.0,78.0
highway,Madhya Pradesh,Ahmedabad,possession,3,0,44,13,59,127.0,101.0
irrigation,Karnataka,Indore,verification,2,2,45,13,90,296.0,124.0
irrigation,Madhya Pradesh,Ahmedabad,objection,6,0,28,11,73,203.0,87.0
irrigation,Karnataka,Indore,award,1,2,27,46,45,218.0,108.0
irrigation,Maharashtra,Satara,verification,1,0,33,45,58,281.0,105.0
rail,Karnataka,Satara,objection,4,3,28,46,44,273.0,117.0
rail,Karnataka,Indore,possession,5,0,40,38,85,135.0,116.0
highway,Madhya Pradesh,Ahmedabad,possession,1,1,42,10,113,138.0,125.0
urban_transit,Madhya Pradesh,Pune,award,1,2,15,33,116,170.0,108.0
highway,Gujarat,Nagpur,possession,6,2,5,18,2,118.0,74.0
irrigation,Maharashtra,Nagpur,possession,4,1,37,50,113,139.0,131.0
urban_transit,Karnataka,Ahmedabad,possession,1,2,43,11,20,147.0,99.0
irrigation,Gujarat,Satara,award,5,1,15,47,99,170.0,102.0
urban_transit,Gujarat,Satara,objection,6,3,9,47,26,279.0,111.0
highway,Karnataka,Nagpur,notification,6,0,28,41,23,298.0,83.0
irrigation,Maharashtra,Ahmedabad,award,4,2,11,32,30,199.0,89.0
rail,Madhya Pradesh,Indore,objection,5,1,23,21,71,229.0,100.0
irrigation,Gujarat,Satara,compensation,6,2,29,16,49,161.0,97.0
rail,Gujarat,Indore,notification,4,0,3,42,39,262.0,68.0
highway,Gujarat,Pune,compensation,5,2,13,49,62,163.0,104.0
irrigation,Maharashtra,Pune,objection,3,2,8,15,106,207.0,100.0
highway,Maharashtra,Nagpur,verification,4,3,32,4,5,294.0,92.0
rail,Karnataka,Nashik,objection,6,0,28,31,79,217.0,98.0
irrigation,Karnataka,Satara,possession,3,3,11,7,59,147.0,108.0
irrigation,Madhya Pradesh,Satara,award,1,2,39,21,99,243.0,137.0
urban_transit,Maharashtra,Satara,possession,5,2,34,43,43,169.0,119.0
urban_transit,Karnataka,Ahmedabad,award,4,2,40,4,75,222.0,117.0
irrigation,Madhya Pradesh,Ahmedabad,compensation,5,3,13,50,16,196.0,104.0
rail,Maharashtra,Indore,notification,2,1,16,34,35,274.0,75.0
rail,Madhya Pradesh,Ahmedabad,objection,5,0,38,9,52,202.0,81.0
urban_transit,Gujarat,Indore,notification,2,1,31,24,2,325.0,87.0
urban_transit,Karnataka,Ahmedabad,objection,6,1,40,28,18,251.0,95.0
irrigation,Madhya Pradesh,Ahmedabad,compensation,6,0,30,32,51,126.0,81.0
urban_transit,Gujarat,Indore,possession,6,1,9,35,68,84.0,83.0
irrigation,Karnataka,Pune,objection,5,2,23,6,94,213.0,100.0
highway,Madhya Pradesh,Pune,possession,5,0,21,4,59,71.0,70.0
highway,Karnataka,Indore,notification,2,2,26,23,10,332.0,94.0
urban_transit,Gujarat,Nagpur,notification,3,3,3,47,96,291.0,106.0
highway,Madhya Pradesh,Nashik,objection,4,1,35,49,91,253.0,124.0
urban_transit,Gujarat,Pune,possession,5,1,17,30,108,121.0,115.0
rail,Karnataka,Pune,objection,1,1,31,27,113,231.0,118.0
highway,Gujarat,Satara,award,1,1,42,46,98,217.0,127.0
urban_transit,Maharashtra,Pune,notification,4,1,35,49,92,348.0,133.0
irrigation,Karnataka,Satara,notification,4,0,23,4,66,264.0,77.0
irrigation,Karnataka,Satara,objection,5,2,30,24,40,277.0,113.0
rail,Karnataka,Indore,verification,6,2,33,35,71,293.0,117.0
irrigation,Madhya Pradesh,Nagpur,award,5,5,40,15,105,301.0,169.0
rail,Maharashtra,Satara,verification,6,3,7,26,44,280.0,98.0
urban_transit,Madhya Pradesh,Nashik,possession,4,3,15,15,60,150.0,111.0
irrigation,Karnataka,Ahmedabad,award,6,2,37,15,69,219.0,114.0
urban_transit,Gujarat,Nashik,notification,4,0,37,21,5,291.0,72.0
urban_transit,Gujarat,Satara,objection,2,2,40,10,12,261.0,96.0
urban_transit,Maharashtra,Satara,award,6,5,39,34,108,280.0,163.0
highway,Karnataka,Satara,compensation,2,2,15,23,8,147.0,75.0
highway,Gujarat,Nashik,award,3,1,8,36,118,165.0,104.0
irrigation,Karnataka,Pune,possession,4,4,22,47,89,205.0,153.0
highway,Madhya Pradesh,Pune,award,5,2,36,40,107,219.0,131.0
irrigation,Madhya Pradesh,Ahmedabad,possession,1,1,11,35,72,119.0,100.0
highway,Gujarat,Pune,verification,1,4,18,29,95,305.0,130.0
irrigation,Karnataka,Nagpur,objection,4,0,9,36,91,206.0,95.0
highway,Madhya Pradesh,Nagpur,objection,5,1,18,29,101,242.0,116.0
irrigation,Madhya Pradesh,Pune,possession,1,0,30,35,91,117.0,108.0
irrigation,Maharashtra,Ahmedabad,compensation,3,0,9,39,44,118.0,72.0
highway,Madhya Pradesh,Pune,possession,5,1,28,20,18,127.0,86.0
highway,Karnataka,Ahmedabad,verification,2,0,40,21,57,270.0,98.0
highway,Maharashtra,Ahmedabad,possession,4,3,41,12,51,176.0,124.0
irrigation,Gujarat,Satara,objection,1,1,9,42,30,232.0,87.0
irrigation,Gujarat,Ahmedabad,notification,4,0,39,7,77,303.0,102.0
highway,Maharashtra,Pune,objection,6,4,45,45,71,334.0,159.0
highway,Karnataka,Satara,award,1,4,17,46,80,248.0,135.0
rail,Maharashtra,Ahmedabad,possession,2,0,13,20,107,63.0,85.0
irrigation,Karnataka,Ahmedabad,notification,1,2,12,28,23,289.0,77.0
highway,Madhya Pradesh,Nagpur,possession,2,2,33,13,101,133.0,119.0
highway,Karnataka,Pune,award,1,1,8,13,79,161.0,85.0
urban_transit,Madhya Pradesh,Ahmedabad,possession,4,4,34,49,45,206.0,141.0
urban_transit,Maharashtra,Indore,objection,1,2,5,33,38,231.0,89.0
irrigation,Maharashtra,Ahmedabad,award,3,1,23,42,16,202.0,88.0
irrigation,Gujarat,Nashik,notification,6,0,34,41,22,333.0,99.0
irrigation,Gujarat,Pune,notification,3,1,3,51,27,277.0,73.0
irrigation,Maharashtra,Pune,notification,1,1,37,14,103,340.0,129.0
urban_transit,Maharashtra,Nagpur,compensation,6,1,38,29,112,177.0,128.0
irrigation,Madhya Pradesh,Satara,award,3,2,11,15,46,172.0,81.0
rail,Gujarat,Satara,verification,6,2,16,40,115,269.0,119.0
rail,Gujarat,Satara,verification,3,3,21,38,0,280.0,86.0
irrigation,Madhya Pradesh,Ahmedabad,possession,6,2,36,5,93,154.0,125.0
highway,Madhya Pradesh,Ahmedabad,notification,1,4,3,44,39,350.0,114.0
highway,Gujarat,Nagpur,verification,5,1,10,13,49,227.0,72.0
rail,Karnataka,Satara,objection,2,3,22,15,91,239.0,113.0
rail,Madhya Pradesh,Nagpur,objection,2,1,26,36,64,237.0,104.0
highway,Karnataka,Nagpur,possession,1,0,26,15,85,99.0,94.0
irrigation,Karnataka,Satara,possession,6,2,45,24,54,153.0,116.0
urban_transit,Madhya Pradesh,Indore,compensation,3,0,15,21,22,107.0,58.0
highway,Madhya Pradesh,Indore,award,5,3,36,47,102,260.0,150.0
rail,Madhya Pradesh,Nagpur,notification,6,3,8,25,51,356.0,118.0
urban_transit,Maharashtra,Satara,objection,6,0,36,19,52,219.0,89.0
highway,Maharashtra,Nagpur,award,4,0,31,9,81,140.0,78.0
irrigation,Karnataka,Pune,compensation,4,5,17,17,81,202.0,129.0
urban_transit,Madhya Pradesh,Ahmedabad,award,1,3,44,35,26,287.0,135.0
rail,Karnataka,Nashik,compensation,5,2,23,13,45,162.0,94.0
highway,Gujarat,Indore,possession,3,0,17,20,57,85.0,78.0
rail,Karnataka,Satara,award,6,1,44,12,4,200.0,83.0
urban_transit,Madhya Pradesh,Nagpur,objection,2,0,10,4,102,186.0,85.0
urban_transit,Madhya Pradesh,Nashik,objection,3,0,18,28,54,190.0,75.0
highway,Madhya Pradesh,Ahmedabad,award,4,2,14,49,110,211.0,126.0
irrigation,Karnataka,Pune,compensation,6,1,30,7,45,168.0,96.0
highway,Madhya Pradesh,Pune,possession,2,1,22,42,76,129.0,109.0
urban_transit,Karnataka,Nashik,notification,1,1,33,44,104,327.0,127.0
irrigation,Maharashtra,Nashik,objection,4,0,33,46,101,216.0,108.0
highway,Maharashtra,Ahmedabad,possession,1,1,44,43,5,176.0,109.0
irrigation,Madhya Pradesh,Indore,compensation,1,1,3,51,59,122.0,81.0
irrigation,Karnataka,Indore,award,2,3,44,18,89,235.0,132.0
irrigation,Maharashtra,Satara,notification,4,1,40,20,57,313.0,102.0
irrigation,Madhya Pradesh,Satara,notification,4,2,30,22,73,312.0,107.0
urban_transit,Madhya Pradesh,Indore,award,4,1,34,25,53,204.0,101.0
urban_transit,Gujarat,Nagpur,compensation,4,1,35,47,1,177.0,91.0
irrigation,Maharashtra,Pune,objection,2,0,45,10,30,235.0,89.0
rail,Maharashtra,Ahmedabad,possession,3,7,5,36,62,216.0,149.0
rail,Madhya Pradesh,Nagpur,objection,1,2,41,20,36,260.0,106.0
irrigation,Madhya Pradesh,Ahmedabad,notification,1,1,6,20,82,263.0,83.0
highway,Maharashtra,Ahmedabad,compensation,4,1,36,22,26,154.0,86.0
rail,Madhya Pradesh,Pune,possession,6,1,6,35,78,70.0,80.0
urban_transit,Gujarat,Pune,objection,3,5,33,46,61,319.0,148.0
highway,Karnataka,Indore,possession,6,1,2,8,61,68.0,69.0
rail,Madhya Pradesh,Nashik,compensation,6,1,32,12,117,167.0,122.0
urban_transit,Karnataka,Indore,objection,3,3,20,23,116,271.0,137.0
urban_transit,Gujarat,Nagpur,compensation,5,0,14,17,82,120.0,85.0
urban_transit,Madhya Pradesh,Satara,objection,5,1,34,5,112,228.0,114.0
rail,Maharashtra,Pune,possession,1,2,27,40,4,147.0,94.0
irrigation,Gujarat,Indore,compensation,2,1,45,20,84,186.0,122.0
irrigation,Karnataka,Ahmedabad,award,2,1,19,47,114,185.0,114.0
highway,Karnataka,Nagpur,compensation,4,2,3,44,31,150.0,85.0
highway,Madhya Pradesh,Satara,verification,4,2,21,8,3,265.0,75.0
rail,Gujarat,Ahmedabad,verification,2,2,7,40,42,295.0,104.0
highway,Karnataka,Indore,compensation,6,2,34,16,21,177.0,95.0
urban_transit,Maharashtra,Indore,verification,6,1,44,9,108,283.0,122.0
irrigation,Karnataka,Nashik,verification,6,0,16,44,48,231.0,77.0
irrigation,Gujarat,Ahmedabad,compensation,3,2,29,13,56,154.0,96.0
urban_transit,Gujarat,Satara,objection,3,0,22,9,2,180.0,51.0
highway,Gujarat,Nashik,award,6,2,6,41,3,184.0,74.0
rail,Madhya Pradesh,Ahmedabad,possession,3,1,11,20,43,108.0,84.0
rail,Madhya Pradesh,Nagpur,verification,5,0,2,31,58,231.0,76.0
irrigation,Karnataka,Indore,objection,3,2,35,50,108,289.0,147.0
irrigation,Maharashtra,Pune,award,4,0,37,21,36,188.0,87.0
irrigation,Gujarat,Indore,verification,5,1,35,45,11,309.0,103.0
urban_transit,Karnataka,Ahmedabad,compensation,2,1,20,17,32,144.0,80.0
irrigation,Gujarat,Pune,verification,4,0,12,14,53,201.0,60.0
highway,Maharashtra,Pune,notification,1,4,19,6,55,329.0,108.0
highway,Karnataka,Indore,possession,3,1,12,50,80,116.0,104.0
irrigation,Karnataka,Nashik,compensation,3,2,4,21,62,168.0,101.0
irrigation,Maharashtra,Ahmedabad,compensation,3,0,4,23,18,99.0,52.0
rail,Maharashtra,Satara,award,2,2,5,47,0,190.0,76.0
rail,Karnataka,Ahmedabad,award,2,2,40,51,16,233.0,108.0
irrigation,Madhya Pradesh,Ahmedabad,notification,5,3,6,22,89,306.0,108.0
irrigation,Maharashtra,Nagpur,notification,2,2,10,13,95,292.0,102.0
urban_transit,Gujarat,Nagpur,verification,4,4,34,33,97,354.0,156.0
irrigation,Madhya Pradesh,Indore,possession,1,0,38,33,103,119.0,114.0
highway,Gujarat,Indore,objection,6,2,21,28,64,243.0,106.0
irrigation,Gujarat,Ahmedabad,award,4,1,14,37,22,173.0,75.0
rail,Maharashtra,Ahmedabad,verification,2,2,33,26,42,308.0,113.0
urban_transit,Karnataka,Satara,objection,5,1,42,51,65,283.0,129.0
urban_transit,Karnataka,Ahmedabad,compensation,1,0,4,18,76,105.0,74.0
rail,Maharashtra,Pune,possession,6,0,7,45,50,82.0,75.0
urban_transit,Gujarat,Pune,objection,1,0,41,35,101,235.0,117.0
urban_transit,Gujarat,Nagpur,objection,1,3,18,4,49,242.0,98.0
irrigation,Karnataka,Indore,objection,5,1,7,28,40,219.0,83.0
highway,Karnataka,Satara,compensation,3,1,15,45,8,154.0,79.0
highway,Karnataka,Ahmedabad,notification,6,4,25,5,51,341.0,112.0
rail,Madhya Pradesh,Nashik,notification,4,0,39,11,61,320.0,104.0
urban_transit,Maharashtra,Pune,award,6,0,39,44,61,195.0,102.0
rail,Maharashtra,Satara,compensation,2,5,25,28,53,221.0,131.0
urban_transit,Karnataka,Ahmedabad,verification,1,2,42,21,45,292.0,107.0
urban_transit,Maharashtra,Satara,award,2,0,27,19,48,162.0,77.0
irrigation,Madhya Pradesh,Nashik,award,4,0,23,40,107,187.0,111.0
rail,Karnataka,Nagpur,verification,1,0,8,44,103,224.0,91.0
irrigation,Gujarat,Satara,award,2,1,29,16,9,204.0,84.0
rail,Madhya Pradesh,Satara,possession,1,2,27,5,85,127.0,109.0
urban_transit,Karnataka,Ahmedabad,award,6,1,15,42,5,219.0,90.0
urban_transit,Madhya Pradesh,Indore,compensation,1,3,11,35,67,173.0,109.0
urban_transit,Madhya Pradesh,Pune,possession,6,4,7,33,48,146.0,108.0
irrigation,Karnataka,Indore,compensation,5,3,18,24,96,181.0,123.0
rail,Maharashtra,Nashik,objection,5,0,6,4,84,166.0,69.0
irrigation,Gujarat,Indore,objection,6,0,41,50,67,252.0,115.0
rail,Madhya Pradesh,Ahmedabad,award,2,0,7,44,116,139.0,91.0
irrigation,Karnataka,Nashik,possession,3,2,13,27,12,136.0,88.0
rail,Madhya Pradesh,Satara,compensation,1,0,38,26,79,154.0,104.0
irrigation,Maharashtra,Nashik,notification,5,3,27,26,24,337.0,103.0
highway,Gujarat,Satara,verification,2,2,24,10,56,264.0,94.0
urban_transit,Karnataka,Satara,award,6,1,7,30,47,181.0,85.0
rail,Madhya Pradesh,Satara,objection,1,2,35,30,51,261.0,112.0
highway,Karnataka,Pune,possession,6,1,37,5,88,124.0,109.0
urban_transit,Madhya Pradesh,Satara,award,4,2,32,30,65,214.0,112.0
rail,Gujarat,Indore,verification,1,3,24,35,76,296.0,120.0
highway,Gujarat,Pune,notification,1,2,28,14,40,290.0,84.0
urban_transit,Maharashtra,Pune,verification,1,0,19,42,51,256.0,89.0
rail,Karnataka,Indore,objection,4,3,18,33,85,271.0,127.0
rail,Karnataka,Nagpur,compensation,2,1,44,19,1,174.0,87.0
irrigation,Karnataka,Pune,verification,3,0,37,10,49,240.0,80.0
urban_transit,Maharashtra,Satara,possession,4,1,9,32,30,108.0,80.0
rail,Maharashtra,Nashik,objection,5,1,32,31,83,242.0,113.0
irrigation,Madhya Pradesh,Nagpur,possession,3,3,25,20,60,141.0,110.0
highway,Karnataka,Nagpur,compensation,3,2,28,32,61,194.0,118.0
irrigation,Maharashtra,Nagpur,objection,5,3,19,50,94,272.0,133.0
rail,Maharashtra,Satara,possession,2,2,2,15,17,102.0,71.0
irrigation,Maharashtra,Satara,verification,1,0,25,6,26,213.0,57.0
irrigation,Madhya Pradesh,Ahmedabad,objection,3,1,41,25,42,261.0,108.0
urban_transit,Karnataka,Indore,possession,5,2,43,29,38,167.0,116.0
urban_transit,Karnataka,Nashik,possession,5,2,40,36,76,151.0,123.0
rail,Gujarat,Indore,objection,5,3,43,42,63,267.0,123.0
urban_transit,Madhya Pradesh,Pune,compensation,1,0,39,4,106,143.0,106.0
urban_transit,Karnataka,Ahmedabad,verification,5,2,34,48,83,324.0,137.0
urban_transit,Madhya Pradesh,Nagpur,verification,1,1,6,32,115,241.0,103.0
urban_transit,Karnataka,Satara,notification,2,2,34,22,92,316.0,116.0
highway,Madhya Pradesh,Pune,possession,6,1,28,8,25,94.0,72.0
highway,Madhya Pradesh,Pune,award,5,2,5,24,99,199.0,112.0
urban_transit,Gujarat,Nagpur,compensation,3,0,32,32,33,126.0,75.0
irrigation,Karnataka,Nagpur,possession,2,0,23,49,41,86.0,77.0
irrigation,Madhya Pradesh,Nashik,compensation,2,3,33,23,96,182.0,126.0
highway,Maharashtra,Ahmedabad,possession,4,2,19,45,84,143.0,120.0
highway,Madhya Pradesh,Satara,award,4,1,31,14,37,227.0,104.0
irrigation,Madhya Pradesh,Indore,compensation,1,2,16,34,74,190.0,119.0
highway,Gujarat,Nagpur,objection,1,1,11,5,84,197.0,86.0
rail,Madhya Pradesh,Pune,notification,3,1,39,15,79,293.0,100.0
rail,Karnataka,Nashik,verification,2,1,41,50,113,309.0,141.0
irrigation,Karnataka,Satara,compensation,2,0,4,12,12,71.0,35.0
highway,Karnataka,Nashik,notification,6,1,26,5,62,298.0,93.0
urban_transit,Gujarat,Indore,compensation,3,4,10,34,120,190.0,137.0
highway,Maharashtra,Satara,objection,2,0,39,32,16,243.0,90.0
irrigation,Maharashtra,Satara,notification,6,2,13,31,120,309.0,121.0
highway,Gujarat,Pune,objection,6,0,31,50,60,234.0,102.0
irrigation,Maharashtra,Nagpur,award,4,3,9,24,45,208.0,99.0
rail,Gujarat,Satara,notification,1,0,23,4,13,239.0,47.0
urban_transit,Karnataka,Nashik,possession,3,0,28,51,88,114.0,107.0
irrigation,Madhya Pradesh,Satara,award,1,1,19,51,5,178.0,74.0
rail,Karnataka,Nagpur,possession,2,3,39,9,65,176.0,128.0
rail,Maharashtra,Pune,notification,4,1,18,38,13,303.0,81.0
urban_transit,Maharashtra,Nagpur,notification,6,4,27,16,50,334.0,111.0
urban_transit,Maharashtra,Satara,award,6,4,2,6,15,209.0,87.0
highway,Karnataka,Ahmedabad,objection,3,2,45,49,30,291.0,122.0
highway,Madhya Pradesh,Ahmedabad,possession,6,0,26,18,45,79.0,72.0
highway,Madhya Pradesh,Nagpur,compensation,3,1,27,14,75,141.0,95.0
irrigation,Karnataka,Nashik,objection,3,1,2,30,40,204.0,75.0
irrigation,Karnataka,Pune,notification,4,2,5,25,14,286.0,71.0
irrigation,Karnataka,Satara,compensation,1,2,45,38,111,181.0,133.0
irrigation,Madhya Pradesh,Indore,compensation,4,0,5,43,40,106.0,65.0
irrigation,Gujarat,Nagpur,possession,1,2,27,23,119,135.0,127.0
urban_transit,Gujarat,Pune,compensation,4,4,18,51,31,189.0,109.0
rail,Karnataka,Ahmedabad,compensation,4,1,14,15,55,136.0,83.0
urban_transit,Gujarat,Ahmedabad,award,2,1,41,6,69,216.0,111.0
rail,Maharashtra,Ahmedabad,possession,3,2,38,11,102,152.0,129.0
urban_transit,Karnataka,Indore,verification,1,0,28,16,59,266.0,95.0
urban_transit,Karnataka,Indore,award,3,2,34,31,100,228.0,131.0
urban_transit,Madhya Pradesh,Ahmedabad,notification,6,1,20,19,74,288.0,93.0
irrigation,Karnataka,Nashik,verification,4,0,20,29,28,245.0,75.0
urban_transit,Gujarat,Nashik,notification,3,1,3,8,111,251.0,85.0
irrigation,Gujarat,Ahmedabad,award,3,2,29,5,40,219.0,102.0
rail,Gujarat,Nashik,objection,4,1,24,10,1,192.0,58.0
urban_transit,Karnataka,Pune,award,1,2,11,22,39,197.0,90.0
urban_transit,Maharashtra,Pune,objection,1,3,19,30,12,290.0,110.0
rail,Madhya Pradesh,Nagpur,possession,2,2,16,48,98,134.0,120.0
irrigation,Madhya Pradesh,Nashik,verification,2,1,29,50,43,284.0,103.0
highway,Madhya Pradesh,Indore,award,6,1,24,17,82,168.0,92.0
highway,Maharashtra,Nagpur,award,1,2,21,42,108,201.0,121.0
urban_transit,Madhya Pradesh,Pune,award,4,1,20,47,74,212.0,113.0
rail,Madhya Pradesh,Pune,compensation,6,2,37,23,51,206.0,120.0
highway,Maharashtra,Indore,objection,3,1,14,15,11,184.0,56.0
rail,Karnataka,Satara,objection,4,1,40,39,68,249.0,113.0
rail,Karnataka,Nagpur,notification,1,3,15,8,114,315.0,120.0
highway,Maharashtra,Ahmedabad,notification,2,0,28,39,49,307.0,96.0
highway,Maharashtra,Nashik,verification,5,2,37,15,22,297.0,100.0
urban_transit,Karnataka,Nashik,award,2,1,7,30,72,178.0,93.0
urban_transit,Gujarat,Ahmedabad,notification,5,6,8,43,41,396.0,139.0
urban_transit,Madhya Pradesh,Indore,notification,6,0,34,4,112,253.0,90.0
highway,Karnataka,Indore,objection,4,1,21,22,112,225.0,112.0
urban_transit,Gujarat,Indore,compensation,1,0,31,49,107,143.0,111.0
highway,Gujarat,Indore,award,5,1,40,36,47,225.0,111.0
highway,Madhya Pradesh,Satara,compensation,3,1,41,43,79,195.0,127.0
irrigation,Karnataka,Ahmedabad,objection,6,1,21,37,109,238.0,119.0
irrigation,Gujarat,Ahmedabad,verification,3,2,17,46,9,268.0,83.0
highway,Gujarat,Indore,possession,6,3,12,37,78,131.0,111.0
rail,Madhya Pradesh,Indore,notification,5,0,19,9,90,264.0,85.0
urban_transit,Maharashtra,Satara,possession,1,1,41,22,32,143.0,101.0
rail,Gujarat,Pune,compensation,2,3,29,20,98,173.0,121.0
rail,Madhya Pradesh,Nashik,verification,1,1,44,18,86,287.0,118.0
highway,Maharashtra,Pune,verification,6,3,35,12,80,287.0,116.0
rail,Maharashtra,Satara,notification,5,0,31,43,109,297.0,113.0
